Sehir,Sube_Adi,Adres,Place_ID
Aksaray,Bim,"Kurtuluş, 3825. Sk No:26, 68100 Aksaray Merkez/Aksaray, Türkiye",ChIJVVk4MONx1hQRiEgBpmNttUM
Aksaray,BIM,"Yeni Mah, 1614. Sk. 23/A, 68100 Aksaray Merkez/Aksaray, Türkiye",ChIJuysD8vhw1hQRyypfd_fftFU
Aksaray,Bim,"Şifahane, 46/Hassas Cad 150/A, 68200 Aksaray Merkez/Aksaray, Türkiye",ChIJVVVVVShx1hQRmuqyBZYpZio
Aksaray,Bim,"Meydan Okçuerler Ap, 951, Meydan Cd. No:7 Sit No:7, Aksaray Merkez/Aksaray, Türkiye",ChIJpy7EFyJx1hQRY7p3c2JKWg4
Aksaray,Bim Avm,"Şamlı, 3000. Sk. No:2 D:4, 68200 Aksaray Merkez/Aksaray, Türkiye",ChIJF80gOqdx1hQRqrRbVQof8mI
Aksaray,Bim,"Meydan, Küçük Bölcek Cd. No:153 A-B, 68200 Aksaray Merkez/Aksaray, Türkiye",ChIJZ8EitB9x1hQRT3Xc0Ug3PqU
Aksaray,Bim,"Kucuk Bolcek, Mah, Cumhuriyet Blv. No:23, 68200, Türkiye",ChIJmwkdLulw1hQR09fTNxPbjnA
Aksaray,Bim,"Yeşilova Mah. E-90 Karayolu Yanı No:210, Türkiye",ChIJobC92f951hQREmU5iDIyCws
Aksaray,Aksary Merkez Merkez Bim,"Meydan, 959. Sk. No:11, 68200 Aksaray Merkez/Aksaray, Türkiye",ChIJ6_KW9x9x1hQRksI8M6GU-rk
Aksaray,Bim Aksaray Bolge Müdürlüğü,"Erenler Osb, 68000 Taşpınar/Aksaray Merkez/Aksaray, Türkiye",ChIJoyYTaSdv1hQR_0YdSpkbuAM
Aksaray,BIM,"Taşpazar Sehıt Yucel Demırtas Sk, AKSARAY, Taspazar Mah No:819 B.Blk. 12/1, Türkiye",ChIJLekNdBxx1hQRtplisUVQCR0
Bayburt,Bim,"Esentepe, Çeçenistan Cd. No:34, 69000 Bayburt Merkez/Bayburt, Türkiye",ChIJ3yXXTa6Hb0ARWZswjiEwZLU
